pert_iname,clinical_phase,moa,target,disease_area,indication,matching_in_cellminercdb,kw_matching,
bumetanide,Launched,solute carrier family member inhibitor,CFTR|GPR35|SLC12A1|SLC12A2|SLC12A4|SLC12A5,cardiology,edema|congestive heart failure,TRUE,,
domperidone,Launched,dopamine receptor antagonist,DRD2|DRD3,infectious disease,fescue toxicosis,TRUE,,
uprosertib,Phase 2,AKT inhibitor,AKT1|AKT2|AKT3,,,TRUE,,
atiprimod,Phase 2,JAK inhibitor|STAT inhibitor,JAK2|STAT3,,,TRUE,,
ganetespib,Phase 3,HSP inhibitor,HSP90AA1,,,TRUE,,
JK-184,Preclinical,hedgehog pathway inhibitor,,,,TRUE,,
STF-118804,Preclinical,NAMPT inhibitor,NAMPT,,,TRUE,,
triptolide,Phase 3,RNA polymerase inhibitor,RELA,,,TRUE,,
TG-101209,Preclinical,JAK inhibitor,JAK2|JAK3,,,TRUE,,
lenvatinib,Launched,FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,FLT4|KDR,oncology,thyroid cancer,TRUE,,
bisacodyl,Launched,laxative,,gastroenterology,constipation,TRUE,,
SB-505124,Preclinical,ALK tyrosine kinase receptor inhibitor,TGFBR1,,,TRUE,,
spermidine,Preclinical,glutamate receptor modulator,KCNJ4|TXNRD1,,,TRUE,,
eltrombopag,Launched,thrombopoietin receptor agonist,MPL,hematology|infectious disease,anemia|hepatitis C|thrombocytopenia,TRUE,,
AEE788,Phase 1/Phase 2,EGFR inhibitor|VEGFR inhibitor,EGFR|ERBB2|ERBB4|FGFR2|FGFR3|KDR,,,TRUE,,
KW-2478,Phase 1/Phase 2,HSP inhibitor,,,,TRUE,,
CUDC-101,Phase 1,EGFR inhibitor,EGFR|ERBB2,,,TRUE,,
lonafarnib,Phase 3,farnesyltransferase inhibitor,FNTA|HRAS|KRAS|NRAS,,,TRUE,,
NVP-AUY922,Phase 2,HSP inhibitor,HSP90AA1|HSP90AB1,,,TRUE,,
tioxolone,Preclinical,carbonic anhydrase inhibitor,CA2,,,TRUE,,
buparlisib,Phase 3,PI3K inhibitor,PIK3CA|PIK3CG,,,TRUE,,
verubulin,Phase 2,tubulin polymerization inhibitor,TUBB,,,TRUE,,
osimertinib,Launched,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC),TRUE,,
sunitinib,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,CSF1R|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,oncology,gastrointestinal stromal tumors (GIST)|renal cell carcinoma (RCC)|neuroendocrine tumors of pancreatic origin (PNET),TRUE,,
temsirolimus,Launched,mTOR inhibitor,MTOR,oncology,renal cell carcinoma (RCC),TRUE,,
GDC-0349,Phase 1,Pim kinase inhibitor,PIK3CA,,,TRUE,,
polydatin,Phase 2,ICAM1 expression inhibitor,ICAM1,,,TRUE,,
daunorubicin,Launched,RNA synthesis inhibitor|topoisomerase inhibitor,TOP2A|TOP2B,hematologic malignancy,acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL),TRUE,,
BMS-387032,Phase 1,CDK inhibitor|cell cycle inhibitor|MCL1 inhibitor,CDK2|CDK7|CDK9,,,TRUE,,
OTX015,Phase 1/Phase 2,bromodomain inhibitor,BRD2|BRD3|BRD4,,,TRUE,,
defactinib,Phase 2,focal adhesion kinase inhibitor,PTK2,,,TRUE,,
CP-673451,Preclinical,PDGFR tyrosine kinase receptor inhibitor,KIT|PDGFRA|PDGFRB,,,TRUE,,
Y-27632,Preclinical,rho associated kinase inhibitor,PKIA|PKN2|PRKACA|PRKCE|ROCK1|ROCK2,,,TRUE,,
ponatinib,Launched,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor,ABL1|BCR|FGFR1|FGFR2|FGFR3|FGFR4|FLT3|KDR|KIT|LCK|LYN|PDGFRA|RET|SRC|TEK,hematologic malignancy,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL),TRUE,,
2-methoxyestradiol,Phase 2,hypoxia inducible factor inhibitor,COMT|CYP19A1|CYP1A1|CYP1B1|HIF1A|TUBB,,,TRUE,,
vismodegib,Launched,hedgehog pathway inhibitor|smoothened receptor antagonist,SMO,oncology,basal cell carcinoma (BCC),TRUE,,
taselisib,Phase 3,PI3K inhibitor,PIK3CA,,,TRUE,,
famciclovir,Launched,DNA polymerase inhibitor,,dental|infectious disease,cold sore|genitial herpes|shingles,TRUE,,
clofibrate,Launched,PPAR receptor agonist,LPL|PPARA,endocrinology|cardiology,hyperlipidemia|cholesterol,TRUE,,
7-hydroxystaurosporine,Phase 2,CDK inhibitor|CHK inhibitor|PKC inhibitor,CDK1|CHEK1|CHEK2|GSK3B|LCK|MAPK14|MARK1|MARK3|PDPK1|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG,,,TRUE,,
JZL-184,Preclinical,monoacylglucerol lipase inhibitor,MGLL,,,TRUE,,
M-344,Preclinical,HDAC inhibitor,HDAC8,,,TRUE,,
MPI-0479605,Preclinical,mitotic kinase inhibitor,TTK,,,TRUE,,
ARRY-334543,Phase 2/Phase 3,EGFR inhibitor,ERBB2,,,TRUE,,
KI-8751,Preclinical,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,KDR,,,TRUE,,
LY2109761,Preclinical,TGF beta receptor inhibitor,TGFBR1|TGFBR2,,,TRUE,,
floxuridine,Launched,DNA synthesis inhibitor,TYMS,oncology,colorectal cancer,TRUE,,
podophyllotoxin,Launched,microtubule inhibitor|tubulin polymerization inhibitor,IGF1R|TOP2A|TUBA4A|TUBB,infectious disease,genital warts,TRUE,,
cebranopadol,Phase 3,opioid receptor agonist,OPRL1|OPRM1,,,TRUE,,
CNX-774,Preclinical,Bruton's tyrosine kinase (BTK) inhibitor,BTK,,,TRUE,,
methyldopa,Launched,adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C|DDC,cardiology,hypertension,TRUE,,
nintedanib,Launched,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4|FLT1|FLT4|KDR|PDGFRA|PDGFRB,pulmonary,idiopathic pulmonary fibrosis (IPF),TRUE,,
prazosin,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|KCNH2|KCNH6|KCNH7,cardiology,hypertension,TRUE,,
dasatinib,Launched,Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|SRC inhibitor|tyrosine kinase inhibitor,ABL1|ABL2|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|STAT5B|YES1,hematologic malignancy,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL),TRUE,,
thioguanine,Launched,purine antagonist,IMPDH1|IMPDH2,hematologic malignancy,acute myeloid leukemia (AML),TRUE,,
PIK-75,Preclinical,DNA protein kinase inhibitor|PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC,,,TRUE,,
pilaralisib,Phase 2,PI3K inhibitor,,,,TRUE,,
BMS-707035,Phase 2,HIV integrase inhibitor,,,,TRUE,,
BX-912,Preclinical,pyruvate dehydrogenase kinase inhibitor,CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1,,,TRUE,,
PD-0325901,Phase 2,MEK inhibitor,MAP2K1,,,TRUE,,
mesna,Launched,antioxidant,,urology,hemorrhagic cystitis,TRUE,,
baicalin,Launched,beta glucuronidase inhibitor,PREP,neurology/psychiatry,anxiety,TRUE,,
PHA-767491,Preclinical,CDC inhibitor,CDK1|RPS6KB1,,,TRUE,,
abiraterone,Launched,androgen biosynthesis inhibitor,CYP11B1|CYP17A1,oncology,prostate cancer,TRUE,,
NVP-TAE684,Preclinical,ALK tyrosine kinase receptor inhibitor,ALK|INSR,,,TRUE,,
canertinib,Phase 3,EGFR inhibitor,AKT1|EGFR|ERBB2|ERBB4,,,TRUE,,
fenofibrate,Launched,PPAR receptor agonist,MMP25|PPARA,endocrinology,hypercholesterolemia|hypertriglyceridemia,TRUE,,
capsaicin,Launched,TRPV agonist,CFTR|TRPV1,neurology/psychiatry|rheumatology,muscle pain|rheumatoid arthritis,TRUE,,
dienogest,Launched,progesterone receptor agonist,PGR,endocrinology|obstetrics/gynecology,contraceptive|endometriosis,TRUE,,
tropisetron,Launched,serotonin receptor antagonist,GLRA1|GLRA2|GLRB|HTR3A|HTR4,gastroenterology,nausea|vomiting,TRUE,,
palbociclib,Launched,CDK inhibitor,CDK4|CDK6,oncology,breast cancer,TRUE,,
fenbendazole,Launched,tubulin polymerization inhibitor,TUBB,infectious disease,gastrointestinal parasites|gastrointestinal roundworms,TRUE,,
toremifene,Launched,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),ESR1,oncology,breast cancer,TRUE,,
taurine,Launched,antioxidant,,neurology/psychiatry,anxiety|irritability|sleeplessness,TRUE,,
cabozantinib,Launched,RET tyrosine kinase inhibitor|VEGFR inhibitor,KDR|MET|RET,oncology,medullary thyroid cancer (MTC),TRUE,,
TPCA-1,Preclinical,IKK inhibitor,IKBKB,,,TRUE,,
ilomastat,Phase 3,matrix metalloprotease inhibitor,ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9,,,TRUE,,
hydroxyurea,Launched,ribonucleotide reductase inhibitor,RRM1|RRM2|RRM2B,hematologic malignancy|oncology,chronic myeloid leukemia (CML)|head and neck squamous cell carcinoma (HNSCC),TRUE,,
nemorubicin,Phase 2,topoisomerase inhibitor,TOP1|TOP2A,,,TRUE,,
BIIB021,Phase 2,HSP inhibitor,HSP90AA1,,,TRUE,,
metronidazole,Launched,DNA inhibitor,CYP2C9|CYP3A4,dermatology,rosacea,TRUE,,
oxibendazole,Launched,tubulin polymerization inhibitor,TUBB|TUBB4B,infectious disease,strongyles,TRUE,,
anastrozole,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer,TRUE,,
R547,Phase 1,CDK inhibitor,CDK1|CDK2|CDK4|CDK7,,,TRUE,,
chlorhexidine,Launched,membrane integrity inhibitor,,dermatology|infectious disease|dental,cosmetic|skin infections|gingivitis,TRUE,,
tacedinaline,Phase 3,HDAC inhibitor,HDAC1,,,TRUE,,
TAK-715,Phase 2,p38 MAPK inhibitor,MAPK14,,,TRUE,,
GDC-0941,Phase 2,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,TRUE,,
tivozanib,Launched,VEGFR inhibitor,FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB,oncology,renal cell carcinoma (RCC),TRUE,,
baricitinib,Launched,JAK inhibitor,JAK1|JAK2,rheumatology,rheumatoid arthritis,TRUE,,
MK-5108,Phase 1,Aurora kinase inhibitor,AURKA|AURKB|AURKC,,,TRUE,,
ruxolitinib,Launched,JAK inhibitor,JAK1|JAK2|JAK3|TYK2,hematologic malignancy|hematology,myelofibrosis|polycythemia vera,TRUE,,
MK-1775,Phase 2,WEE1 kinase inhibitor,WEE1,,,TRUE,,
monobenzone,Launched,melanin inhibitor,TYR,dermatology,skin depigmentation,TRUE,,
zolmitriptan,Launched,serotonin receptor agonist,HTR1A|HTR1B|HTR1D|HTR1E|HTR1F,neurology/psychiatry,migraine headache,TRUE,,
artesunate,Launched,DNA synthesis inhibitor,,infectious disease,malaria,TRUE,,
niraparib,Launched,PARP inhibitor,PARP1,oncology,primary peritoneal cancer (PPC),TRUE,,
alpelisib,Launched,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,oncology,breast cancer,TRUE,,
amoxicillin,Launched,penicillin binding protein inhibitor,CYP2C19|SLC15A1|SLC15A2|SLC22A6,infectious disease|gastroenterology,skin infections|duodenal ulcer disease|gonorrhea|ear infections|throat infections|genitourinary tract infections|respiratory tract infections,TRUE,,
rigosertib,Phase 3,cell cycle inhibitor|PLK inhibitor,PLK1,,,TRUE,,
torcetrapib,Phase 3,cholesteryl ester transfer protein inhibitor,CETP,,,TRUE,,
topotecan,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,small cell lung cancer|cervical cancer,TRUE,,
latrepirdine,Phase 3,glutamate receptor antagonist,HRH1|HTR6,,,TRUE,,
orantinib,Phase 3,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,AURKA|AURKB|EGFR|FGFR1|FGFR2|KDR|PDGFRA|PDGFRB,,,TRUE,,
AP26113,Phase 2,ALK tyrosine kinase receptor inhibitor,ALK|EGFR,,,TRUE,,
MGCD-265,Preclinical,VEGFR inhibitor,AXL|MET,,,TRUE,,
voxtalisib,Phase 2,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA,,,TRUE,,
ABT-737,Phase 1/Phase 2,BCL inhibitor,BCL2|BCL2L1|BCL2L2,,,TRUE,,
amonafide,Phase 3,topoisomerase inhibitor,TOP2A|TOP2B,,,TRUE,,
vemurafenib,Launched,RAF inhibitor,BRAF|RAF1,oncology,melanoma,TRUE,,
MK-2461,Phase 1/Phase 2,FGFR inhibitor|VEGFR inhibitor,FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|MERTK|MET|MST1R|NTRK1|NTRK2|PDGFRB,,,TRUE,,
Y-39983,Phase 2,rho associated kinase inhibitor,ROCK1|ROCK2,,,TRUE,,
enzalutamide,Launched,androgen receptor antagonist,AR,oncology,prostate cancer,TRUE,,
dacinostat,Phase 1,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,,,TRUE,,
selumetinib,Phase 3,MEK inhibitor,MAP2K1,,,TRUE,,
dacomitinib,Launched,EGFR inhibitor,EGFR|ERBB2|ERBB4,,,TRUE,,
hesperadin,Preclinical,Aurora kinase inhibitor,AURKB,,,TRUE,,
doxifluridine,Launched,thymidylate synthase inhibitor,TYMS,oncology,colorectal cancer,TRUE,,
AT13387,Phase 2,HSP inhibitor,HSP90AA1,,,TRUE,,
ONC201,Phase 2,AKT inhibitor|MAP kinase inhibitor,TNFSF10,,,TRUE,,
FK-866,Phase 2,niacinamide phosphoribosyltransferase inhibitor,NAMPT,,,TRUE,,
acetylcysteine,Launched,mucolytic agent,ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11,gastroenterology,acetaminophen overdose|hepatic injury,TRUE,,
naproxen,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry|rheumatology|dental|otolaryngology|endocrinology,pain relief|rheumatoid arthritis|headache|toothache|backache|muscle pain|common cold|fever,TRUE,,
delanzomib,Phase 1/Phase 2,proteasome inhibitor,CMA1|CTSG|CYP3A4|ELANE,,,TRUE,,
piperine,Phase 1,monoamine oxidase inhibitor,MAOA|MAOB|TRPV1,,,TRUE,,
ubenimex,Launched,leukotriene synthesis inhibitor,LTA4H|RNPEP,hematologic malignancy,acute myeloid leukemia (AML),TRUE,,
quinidine,Launched,sodium channel blocker,KCNA5|KCNA7|KCNH1|KCNH2|KCNH5|KCNK1|KCNK6|SCN5A|SLC29A4,infectious disease|cardiology,malaria|atrial fibrillation (AF)|ventricular arrhythmias,TRUE,,
vindesine,Launched,tubulin polymerization inhibitor,TUBB|TUBB1,oncology,breast cancer|non-small cell lung cancer (NSCLC)|melanoma,TRUE,,
LDN-212854,Preclinical,bone morphogenic protein inhibitor,ABL1|ACVR1|RIPK2,,,TRUE,,
tiagabine,Launched,GABA uptake inhibitor,SLC6A1,neurology/psychiatry,seizures,TRUE,,
MG-132,Preclinical,proteasome inhibitor,PSMB1,,,TRUE,,
niacin,Launched,NAD precursor|vitamin B,DGAT2|HCAR1|HCAR2|HCAR3|NNMT|QPRT,endocrinology,hypertriglyceridemia,TRUE,,
ribavirin,Launched,antiviral,ADK|ENPP1|IMPDH1|IMPDH2|NT5C2,infectious disease,hepatitis C,TRUE,,
ONX-0914,Preclinical,proteasome inhibitor,,,,TRUE,,
paricalcitol,Launched,vitamin D receptor agonist,VDR,nephrology|endocrinology,chronic kidney disease (CKD)|hyperthyroidism,TRUE,,
idelalisib,Launched,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,hematologic malignancy,chronic lymphocytic leukemia (CLL),TRUE,,
PHA-848125,Phase 2,CDK inhibitor|growth factor receptor inhibitor,CDK2|CDK4|CDK7|NTRK1,,,TRUE,,
capecitabine,Launched,DNA synthesis inhibitor|thymidylate synthase inhibitor,TYMS,oncology,breast cancer|colorectal cancer,TRUE,,
romidepsin,Launched,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,hematologic malignancy,cutaneous T-cell lymphoma (CTCL),TRUE,,
resatorvid,Phase 3,toll-like receptor inhibitor,TLR4,,,TRUE,,
fleroxacin,Launched,topoisomerase inhibitor,TOP2A,infectious disease|gastroenterology,gonorrhea|enteritis|diarrhea|respiratory tract infections,TRUE,,
AS-1949490,Preclinical,SHIP2 phosphatase inhibitor,INPP5D,,,TRUE,,
paclitaxel,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TLR4|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,oncology,ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC),TRUE,,
AVN-944,Phase 2,inosine monophosphate dehydrogenase inhibitor,IMPDH1|IMPDH2,,,TRUE,,
anagrelide,Launched,phosphodiesterase inhibitor,PDE3A,hematology|hematologic malignancy,thrombocythemia|myeloproliferative neoplasms,TRUE,,
deforolimus,Phase 3,mTOR inhibitor,MTOR,,,TRUE,,
venetoclax,Launched,BCL inhibitor,BCL2,hematologic malignancy,chronic lymphocytic leukemia (CLL),TRUE,,
aztreonam,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,urinary tract infections|respiratory tract infections|bacterial septicemia|skin infections|intra-abdominal infections|gynecologic infections,TRUE,,
idasanutlin,Phase 3,MDM inhibitor,MDM2|TP53,,,TRUE,,
PD-98059,Preclinical,MEK inhibitor,AKT1|CHEK1|GSK3B|LCK|MAP2K1|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1,,,TRUE,,
BMS-265246,Preclinical,CDK inhibitor,CDK1|CDK2,,,TRUE,,
tipifarnib,Phase 3,farnesyltransferase inhibitor,FNTA|FNTB,,,TRUE,,
ZSTK-474,Phase 1/Phase 2,PI3K inhibitor,PIK3CB|PIK3CD|PIK3CG,,,TRUE,,
epinephrine,Launched,adrenergic receptor agonist|carbonic anhydrase activator|neurotransmitter,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH|TNF,cardiology|allergy|pulmonary,cardiac arrest|anaphylactic shock|asthma,TRUE,,
semaxanib,Phase 3,VEGFR inhibitor,FGFR1|FLT1|KDR|KIT|PDGFRA|PDGFRB|RET,,,TRUE,,
acipimox,Launched,cholesterol inhibitor,HCAR2,endocrinology,hyperlipidemia,TRUE,,
10-hydroxycamptothecin,Preclinical,topoisomerase inhibitor,TOP1,,,TRUE,,
raloxifene,Launched,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),ESR1|ESR2,orthopedics|oncology,osteoporosis|breast cancer,TRUE,,
gefitinib,Launched,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC),TRUE,,
vinflunine,Launched,microtubule inhibitor,,oncology,bladder cancer,TRUE,,
Ro-4987655,Phase 1,MEK inhibitor,MAP2K1,,,TRUE,,
TG100-115,Phase 1/Phase 2,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,TRUE,,
PHA-793887,Phase 1,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK7|CDK9,,,TRUE,,
CYC116,Phase 1,Aurora kinase inhibitor,AURKA|AURKB|KDR,,,TRUE,,
ispinesib,Phase 2,kinesin inhibitor,KIF11,,,TRUE,,
BI-2536,Phase 2,PLK inhibitor,BRD4|PLK1|PLK2|PLK3,,,TRUE,,
AMG-232,Phase 2,MDM inhibitor,MDM2,,,TRUE,,
nefiracetam,Phase 3,acetylcholine receptor agonist|benzodiazepine receptor agonist,CHRM1,,,TRUE,,
serdemetan,Phase 1,MDM inhibitor,MDM2,,,TRUE,,
AZD1480,Phase 1,JAK inhibitor,JAK1|JAK2|JAK3,,,TRUE,,
salidroside,Preclinical,beta amyloid protein neurotoxicity inhibitor,APP,,,TRUE,,
fluvastatin,Launched,HMGCR inhibitor,HMGCR,endocrinology|cardiology,hypercholesterolemia|congenital heart defects,TRUE,,
fludarabine,Launched,ribonucleotide reductase inhibitor,ADA|DCK|POLA1|RRM1|RRM2,hematologic malignancy,chronic lymphocytic leukemia (CLL),TRUE,,
MK-3207,Phase 2,calcitonin antagonist,CALCA,,,TRUE,,
altretamine,Launched,DNA synthesis inhibitor,,oncology,ovarian cancer,TRUE,,
SB-431542,Preclinical,TGF beta receptor inhibitor,ACVR1C|TGFBR1,,,TRUE,,
cyclocytidine,Preclinical,DNA synthesis inhibitor|RNA synthesis inhibitor,,,,TRUE,,
KU-0063794,Preclinical,mTOR inhibitor,MTOR,,,TRUE,,
GDC-0879,Preclinical,RAF inhibitor,BRAF,,,TRUE,,
pevonedistat,Phase 3,nedd activating enzyme inhibitor,NAE1|UBA3,,,TRUE,,
PI-103,Preclinical,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC,,,TRUE,,
eprosartan,Launched,angiotensin receptor antagonist,AGTR1,cardiology,hypertension,TRUE,,
MK-2206,Phase 2,AKT inhibitor,AKT1|AKT2|AKT3,,,TRUE,,
torin-2,Preclinical,mTOR inhibitor,MTOR,,,TRUE,,
amsacrine,Launched,topoisomerase inhibitor,KCNH2|TOP2A,hematologic malignancy,acute lymphoblastic leukemia (ALL),TRUE,,
carboxyamidotriazole,Phase 3,calcium channel blocker,CXCL8,,,TRUE,,
ENMD-2076,Phase 2,Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor,AURKA|FLT3|KDR|PDGFRA|PTK2|SRC,,,TRUE,,
SB-743921,Phase 1/Phase 2,kinesin-like spindle protein inhibitor,KIF11,,,TRUE,,
PF-03814735,Phase 1,Aurora kinase inhibitor,AURKA|AURKB,,,TRUE,,
flumatinib,Phase 3,Bcr-Abl kinase inhibitor,ABL1|PDGFRB,,,TRUE,,
cephalomannine,Preclinical,DNA polymerase inhibitor,,,,TRUE,,
GDC-0152,Phase 1,XIAP inhibitor,BIRC2|BIRC3|BIRC7|XIAP,,,TRUE,,
PF-3845,Preclinical,FAAH inhibitor,FAAH,,,TRUE,,
golvatinib,Phase 2,VEGFR inhibitor,KDR|MET,,,TRUE,,
cisplatin,Launched,DNA alkylating agent|DNA synthesis inhibitor,XIAP,oncology,testicular carcinoma|ovarian cancer|bladder cancer,TRUE,,
vinorelbine,Launched,tubulin polymerization inhibitor,TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,oncology,non-small cell lung cancer (NSCLC),TRUE,,
tacrolimus,Launched,calcineurin inhibitor,FKBP1A,transplant,organ rejection,TRUE,,
idarubicin,Launched,topoisomerase inhibitor,TOP2A,hematologic malignancy,acute myeloid leukemia (AML),TRUE,,
atorvastatin,Launched,HMGCR inhibitor,AHR|DPP4|HMGCR,neurology/psychiatry|cardiology,stroke|heart attack,TRUE,,
volasertib,Phase 3,PLK inhibitor,PLK1,,,TRUE,,
AZD8055,Phase 1,mTOR inhibitor,MTOR,,,TRUE,,
SMI-4a,Preclinical,Pim kinase inhibitor,PIM1,,,TRUE,,
vatalanib,Phase 3,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,EGFR|FLT1|FLT4|KDR|PDGFRB,,,TRUE,,
riboflavin,Launched,vitamin B,BLVRB|RFK,gastroenterology,jaundice,TRUE,,
ibrutinib,Launched,Bruton's tyrosine kinase (BTK) inhibitor,BLK|BMX|BTK,hematologic malignancy,chronic lymphocytic leukemia (CLL)|mantle cell lymphoma (MCL)|Waldenstrom's macroglobulinemia (WM),TRUE,,
aripiprazole,Launched,serotonin receptor agonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR6|HTR7,neurology/psychiatry,depression|schizophrenia|bipolar disorder,TRUE,,
erlotinib,Launched,EGFR inhibitor,EGFR|NR1I2,oncology,non-small cell lung cancer (NSCLC)|pancreatic cancer,TRUE,,
ranitidine,Launched,histamine receptor antagonist,HRH2,gastroenterology,heartburn,TRUE,,
HMN-214,Phase 1,PLK inhibitor,PLK1,,,TRUE,,
masitinib,Launched,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|SRC inhibitor,FGFR3|KIT|PDGFRA|PDGFRB,dermatology,mastocytoma,TRUE,,
dorzolamide,Launched,carbonic anhydrase inhibitor,CA1|CA12|CA14|CA2|CA4|CA7,ophthalmology,intraocular pressure|glaucoma,TRUE,,
birinapant,Phase 2,XIAP inhibitor,BIRC2|XIAP,,,TRUE,,
SNX-2112,Phase 1,HSP inhibitor,,,,TRUE,,
KPT-185,Preclinical,exportin antagonist,XPO1,,,TRUE,,
GDC-0068,Phase 3,AKT inhibitor,AKT1|AKT2|AKT3|PRKG1,,,TRUE,,
SNS-314,Phase 1,Aurora kinase inhibitor,AURKA|AURKB|AURKC,,,TRUE,,
vidarabine,Launched,antiviral,ADA,infectious disease,virus herpes simplex (HSV)|varicella-zoster virus (VZV),TRUE,,
TAME,Preclinical,,,,,TRUE,,
gilteritinib,Launched,FLT3 inhibitor,FLT3,,,TRUE,,
baicalein,Preclinical,lipoxygenase inhibitor,ALOX5|GLO1|PREP|SELL|SELP|TNF|XDH,,,TRUE,,
WZ-4002,Preclinical,EGFR inhibitor,EGFR|ERBB2,,,TRUE,,
ZM-447439,Preclinical,Aurora kinase inhibitor,AURKA|AURKB,,,TRUE,,
CEP-37440,Phase 1,ALK tyrosine kinase receptor inhibitor,ALK,,,TRUE,,
valrubicin,Launched,DNA inhibitor|topoisomerase inhibitor,TOP2A,oncology,bladder cancer,TRUE,,
SNX-5422,Phase 1/Phase 2,HSP inhibitor,HSP90AA1|HSP90AB1,,,TRUE,,
WZ-3146,Preclinical,EGFR inhibitor,EGFR,,,TRUE,,
OSI-420,Preclinical,EGFR inhibitor,EGFR,,,TRUE,,
PF-04217903,Phase 1,c-Met inhibitor,MET,,,TRUE,,
cinacalcet,Launched,calcium channel activator,CASR,endocrinology|nephrology|oncology,hyperparathyroidism|chronic kidney disease (CKD)|parathyroid carcinoma|hypercalcemia,TRUE,,
BI-78D3,Preclinical,JNK inhibitor,MAPK8,,,TRUE,,
indibulin,Phase 1/Phase 2,tubulin polymerization inhibitor,,,,TRUE,,
